# Data generated by mergeData.py 
dexapi    mysql    neo4japi    neo4jc    neo4jt    orientapi    
1    28    0    1    0    0    
1    28    1    100    10    0    
1    28    1    101    10    0    
1    29    1    104    10    0    
1    29    1    10621    10    0    
1    29    1    1081    105    0    
1    29    1    109    113    0    
1    29    1    109    115    0    
10    29    1    112    116    0    
11    29    10    1134    123    0    
14    29    10    114    126    0    
16    29    106    114    127    0    
16    29    12    1144    142    0    
16    29    13    117    15    0    
16    29    14    120    15    0    
17    29    14    122    17    0    
17    29    15    1228    17    0    
17    29    16    123    178    0    
18    29    16    128    18    0    
18    29    17    132    18    0    
18    29    18    138    181    0    
19    30    2    139    185    0    
197    30    2    141    186    0    
2    30    2    1418    19    0    
2    30    2    149    19    0    
2    30    2    150    19    0    
2    30    2    150    195    0    
2    30    2    156    20    0    
2    30    2    157    208    0    
2    30    2    1599    22    0    
2    30    2    1640    22    0    
2    30    2    1857    22    0    
2    30    2    190    22    0    
2    30    2    192    23    0    
2    30    2    193    23    0    
2    30    2    193    23    0    
2    30    2    194    25    0    
2    30    20    195    25    0    
2    30    207    196    251    0    
2    30    22    199    254    0    
2    30    23    200    26    0    
22    30    24    211    26    0    
23    30    26    212    27    0    
26    30    28    213    27    0    
27    30    3    214    28    0    
3    30    3    2179    28    0    
3    30    3    218    30    0    
3    30    3    228    30    0    
3    30    3    229    30    0    
3    31    3    234    31    0    
3    31    3    25149    32    0    
3    31    3    273    32    0    
3    31    3    274    32    0    
3    31    3    2860    32    0    
3    31    3    32    34    0    
3    31    3    32    35    0    
30    31    3    322    358    0    
4    31    3    323    36    0    
4    31    3    3236    36    0    
4    31    35    327    37    0    
4    31    4    328    37    0    
4    31    4    33    38    0    
4    31    4    342    40    0    
406    31    4    36    40    0    
43    31    4    372    41    0    
45    31    4    377    43    0    
47    31    4    387    44    0    
47    31    4    39    46    0    
48    31    4    4126    46    0    
5    31    4    4140    48    0    
5    31    4    426    52    0    
5    31    42    429    53    0    
5    31    46    431    53    0    
5    31    472    444    53    0    
5    32    5    47    54    0    
5    32    5    48    54    0    
5    32    5    49    55    0    
5    32    5    503    58    0    
5    32    5    505    58    0    
5    32    5    5124    60    0    
5    32    52    53    61    0    
5    32    6    54    62    0    
5    32    6    55    63    0    
5    32    6    57    64    0    
59    32    64    57    64    0    
59    32    7    621    69    0    
6    33    7    65    70    0    
7    33    7    731    714    0    
7    33    7    735    75    0    
73    33    7    74    78    0    
73    33    7    743    80    0    
74    33    72    745    80    0    
8    33    77    80    86    1    
8    33    8    91    88    1    
8    33    8    93    88    1    
9    35    8    961    9    1    
9    36    87    967    92    1    
9    36    9    97    96    10    
9    36    9    98    98    12    
9    41    9    99    98    18    

