MySQL;Neo4j;DEX;OrientDB
456;338;347;1020
440;60;228;308
430;29;134;61
437;44;206;239
461;22;141;148
435;47;110;126
449;271;273;266
443;43;249;88
431;9;40;19
451;52;238;116
433;23;107;65
438;27;197;38
455;56;315;117
477;92;1046;329
486;111;801;220
432;17;151;14
451;41;253;80
465;57;380;91
432;7;49;11
436;24;167;37
468;71;539;77
445;35;186;48
433;22;164;24
431;29;184;29
440;19;137;19
465;22;210;24
442;31;289;32
435;24;205;27
459;30;267;37
430;12;61;24
456;44;345;51
431;17;123;26
436;23;184;26
438;25;230;24
449;27;173;28
443;23;166;29
439;24;232;224
439;20;166;22
437;22;194;22
436;20;171;19
431;13;116;13
456;36;291;44
436;28;225;31
437;15;97;15
432;17;163;14
437;26;570;45
442;29;347;32
446;31;314;35
449;30;325;25
481;71;567;87
432;20;144;20
445;15;122;17
428;15;98;20
446;18;168;17
454;41;282;58
433;16;130;13
430;137;125;20
437;14;118;14
463;48;370;51
441;19;164;21
452;27;255;29
456;39;300;49
442;22;173;28
432;16;135;15
444;15;95;18
431;18;162;13
439;28;276;24
433;18;162;17
451;31;259;32
447;30;222;27
445;33;263;34
436;20;162;21
449;29;266;27
437;32;273;30
432;10;84;12
431;17;456;15
433;23;298;20
437;19;236;15
439;21;262;23
429;20;242;18
466;77;629;81
432;29;251;29
501;120;855;157
515;176;1059;270
452;45;389;43
461;46;394;52
447;31;252;32
440;34;318;29
426;5;32;5
436;18;164;16
436;26;223;21
425;18;158;14
448;34;288;32
448;34;255;29
439;27;561;25
434;14;162;12
441;13;140;11
437;11;124;9
452;37;448;32
430;8;59;7
