MySQL;Neo4j;DEX
65145;188292;278976
61605;17941;27768
61560;55861;41488
61716;46770;63328
62479;17364;162328
62433;24789;141781
62823;85261;246557
61933;28843;92990
65396;149621;350546
64804;57594;208558
62707;15772;140022
61152;63275;62750
62525;100159;232262
63711;30000;149349
63445;9082;87236
63368;113275;197605
61340;28049;206510
61762;11489;105612
62105;29470;84931
61683;54614;139267
60981;25460;66448
62588;11136;21152
60638;6444;49012
62120;4587;32550
62400;40093;192945
64132;65459;133779
65286;151822;306330
61340;11966;32930
61622;32590;141281
62401;11329;39079
64163;80748;239059
61745;7583;89564
61527;11248;39099
61793;31674;55685
61964;5710;73554
61168;16350;78920
61730;64429;170340
61542;67346;151523
61527;11032;47709
60389;22842;160208
62993;19268;174179
62042;8191;134471
65956;137750;297240
63915;25665;150401
63805;47472;132038
64272;66098;141552
61933;26443;111630
70842;81511;252742
64553;102197;194859
64398;43635;219391
62729;46900;149030
64492;145049;348160
65428;105067;322302
62042;13776;140434
62994;24602;176613
61731;36195;73524
69217;162040;462565
62522;23091;123252
61682;39627;183699
63883;54040;69136
62713;12076;97033
61653;13448;97183
62681;28255;116639
66098;153178;337536
64507;37923;233785
62198;10485;108673
62245;70513;252139
61871;37211;118697
63462;43433;229275
60529;10056;26536
61994;29799;142147
61137;64556;147883
61918;27457;41964
61496;35943;121674
62338;19425;244084
60903;10641;65429
63055;63465;122917
62918;31950;225054
61137;9953;46135
69561;204550;514300
62448;9907;30831
64646;120995;208358
67886;174019;421625
62447;11811;70296
62175;7598;104549
61403;11701;48720
64226;45350;72878
61371;12138;13679
64710;104146;370782
62354;50031;133310
66644;79776;322246
65209;163568;385002
60841;8721;65516
66738;181335;464375
60966;17444;109362
63586;41778;150742
68188;170618;363005
64523;20378;99483
62916;22090;127279
64913;138124;308036
