mysql;neo4j_api;dex_api
5128;1913;5119
5317;2280;7180
5062;799;4694
5016;839;4151
5346;1652;10037
5185;645;5313
5496;423;3914
5394;237;1528
5326;509;4433
5772;3849;10424
4973;343;4860
5515;648;5373
5991;1059;10338
5568;1076;8488
5190;358;5494
5059;294;2951
5016;246;3450
5067;371;3481
5076;384;5094
5064;399;3837
5405;521;3282
5462;587;4308
5344;342;5574
5204;265;3420
5077;253;4034
5500;197;4105
5145;311;4552
5307;692;5497
5158;282;5333
5481;6827;7443
5086;4572;3961
4919;172;3096
5528;3215;8888
5376;4910;7475
5171;3308;5431
5184;4636;7055
5637;8079;12767
4997;3029;3614
5271;220;3661
5934;1545;11124
5224;335;4669
5011;174;2977
5095;163;2836
5043;135;2591
5197;237;5145
5106;148;2243
5209;246;4860
5157;210;3251
5159;119;2606
5192;167;3364
5080;198;5759
5442;1088;14103
5161;200;4914
5022;123;2133
5746;770;13208
5318;228;4872
5114;90;1281
5065;97;1842
5237;383;5799
5012;100;2727
4994;139;2817
5000;219;5398
5019;96;1119
5226;804;10332
5209;467;7522
5007;121;4251
5114;185;4150
5295;610;13604
5369;443;7498
4884;177;3772
5062;238;5401
5056;200;5558
5108;4335;6570
5256;344;7639
4970;171;4686
5153;326;6972
5190;227;4543
5009;123;1583
5300;334;5018
5086;162;3288
5064;113;2550
5177;310;6127
5353;486;12155
5510;721;14649
5124;226;6163
5144;343;6052
5271;341;6698
5215;183;5500
5152;201;4574
5165;71;1426
5093;207;4421
5216;173;4268
5084;211;5445
5046;80;1710
5170;1132;3832
4938;180;692
5042;92;1518
5133;175;4232
5166;199;2868
4981;132;2975
